model,layer,domain,condition_a,condition_b,procrustes_disparity,concept_subset,bootstrap_id
Qwen/Qwen3-VL-8B-Instruct,12,sensory,M_matched_image,M_mismatched_image,0.17317261788413885,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,12,sensory,M_matched_image,M_blank_image,0.16249728362536153,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,13,sensory,M_matched_image,M_degraded_image,0.02017364616077022,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,13,sensory,M_matched_image,M_mismatched_image,0.18260546000638156,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,13,sensory,M_matched_image,M_blank_image,0.1686119697476165,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,14,sensory,M_matched_image,M_degraded_image,0.022936706434628196,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,14,sensory,M_matched_image,M_mismatched_image,0.20177590167538684,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,14,sensory,M_matched_image,M_blank_image,0.18219833473709612,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,15,sensory,M_matched_image,M_degraded_image,0.02429465688568455,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,15,sensory,M_matched_image,M_mismatched_image,0.2042875315808983,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,15,sensory,M_matched_image,M_blank_image,0.18470892814432416,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,16,sensory,M_matched_image,M_degraded_image,0.029543130589311684,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,16,sensory,M_matched_image,M_mismatched_image,0.22382535487465915,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,16,sensory,M_matched_image,M_blank_image,0.19986711998758278,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,17,sensory,M_matched_image,M_degraded_image,0.03136862320796019,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,17,sensory,M_matched_image,M_mismatched_image,0.22548286754365265,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,17,sensory,M_matched_image,M_blank_image,0.19916711304172363,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,18,sensory,M_matched_image,M_degraded_image,0.034182893076766696,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,18,sensory,M_matched_image,M_mismatched_image,0.23678568175993409,data/concepts/things_max_1854_concepts.csv,aggregate
Qwen/Qwen3-VL-8B-Instruct,18,sensory,M_matched_image,M_blank_image,0.21154519072276368,data/concepts/things_max_1854_concepts.csv,aggregate
