model,condition,layer,domain,anchor_name,anchor_type,rsa_score,bootstrap_id,ci_low,ci_high
Qwen/Qwen3.5-9B,T_prompt_primary,3,sensory,THINGS behavioral similarity,human_behavioral,0.2436365032277602,aggregate,0.16838493977552185,0.31227356953455565
Qwen/Qwen3.5-9B,T_prompt_primary,3,sensory,DINOv2,pure_vision,0.3095265628160365,aggregate,0.23892761416826983,0.37282520395678526
Qwen/Qwen3.5-9B,T_prompt_primary,3,sensory,CLIP ViT-L/14,vision_language,0.13793487313224156,aggregate,0.06241139475727126,0.21258204751247453
Qwen/Qwen3.5-9B,T_prompt_primary,3,sensory,SigLIP2,vision_language,0.2041314985393933,aggregate,0.12932612904081,0.2719253496822402
Qwen/Qwen3.5-9B,T_prompt_primary,4,sensory,THINGS behavioral similarity,human_behavioral,0.28464193020336,aggregate,0.2101407717414649,0.3574036323737095
Qwen/Qwen3.5-9B,T_prompt_primary,4,sensory,DINOv2,pure_vision,0.28921767737557214,aggregate,0.21296865843869137,0.3578630538700756
Qwen/Qwen3.5-9B,T_prompt_primary,4,sensory,CLIP ViT-L/14,vision_language,0.08026674309569047,aggregate,0.009241446596742172,0.1540600248833265
Qwen/Qwen3.5-9B,T_prompt_primary,4,sensory,SigLIP2,vision_language,0.21449231482126221,aggregate,0.14553544964154919,0.28655430981521374
Qwen/Qwen3.5-9B,T_prompt_primary,5,sensory,THINGS behavioral similarity,human_behavioral,0.3233309782824499,aggregate,0.25341270272638616,0.38894059783668444
Qwen/Qwen3.5-9B,T_prompt_primary,5,sensory,DINOv2,pure_vision,0.3173177087650772,aggregate,0.24424451064843203,0.3899028117288513
Qwen/Qwen3.5-9B,T_prompt_primary,5,sensory,CLIP ViT-L/14,vision_language,0.053188010424852536,aggregate,-0.026205648844483426,0.12599265797173445
Qwen/Qwen3.5-9B,T_prompt_primary,5,sensory,SigLIP2,vision_language,0.23785235133919347,aggregate,0.1730420619873152,0.304070566615539
Qwen/Qwen3.5-9B,T_prompt_primary,6,sensory,THINGS behavioral similarity,human_behavioral,0.36526835139633995,aggregate,0.30135180944716533,0.42997295825158866
Qwen/Qwen3.5-9B,T_prompt_primary,6,sensory,DINOv2,pure_vision,0.34189726623937156,aggregate,0.2754582829936932,0.4123221650497178
Qwen/Qwen3.5-9B,T_prompt_primary,6,sensory,CLIP ViT-L/14,vision_language,0.08545081242449665,aggregate,0.011762433304378454,0.16034723982580867
Qwen/Qwen3.5-9B,T_prompt_primary,6,sensory,SigLIP2,vision_language,0.2952344942476522,aggregate,0.23095796572571006,0.35866906936764603
Qwen/Qwen3.5-9B,T_prompt_primary,7,sensory,THINGS behavioral similarity,human_behavioral,0.4251753619227776,aggregate,0.3671304365495157,0.48176894736575426
Qwen/Qwen3.5-9B,T_prompt_primary,7,sensory,DINOv2,pure_vision,0.34640657173551914,aggregate,0.27655276449863325,0.4134425146168905
Qwen/Qwen3.5-9B,T_prompt_primary,7,sensory,CLIP ViT-L/14,vision_language,0.06283451513714672,aggregate,-0.010867437357032519,0.13440479897234625
Qwen/Qwen3.5-9B,T_prompt_primary,7,sensory,SigLIP2,vision_language,0.3384761279498122,aggregate,0.27018572047583705,0.40766215149483365
Qwen/Qwen3.5-9B,T_prompt_primary,8,sensory,THINGS behavioral similarity,human_behavioral,0.45540645649538564,aggregate,0.3910229752561901,0.516534739393892
Qwen/Qwen3.5-9B,T_prompt_primary,8,sensory,DINOv2,pure_vision,0.3602304918094392,aggregate,0.295199168915448,0.425964553512164
Qwen/Qwen3.5-9B,T_prompt_primary,8,sensory,CLIP ViT-L/14,vision_language,0.12848697059223377,aggregate,0.052267585155646855,0.20494739662135467
Qwen/Qwen3.5-9B,T_prompt_primary,8,sensory,SigLIP2,vision_language,0.38309360842255585,aggregate,0.31797616563284253,0.44376495973229746
Qwen/Qwen3.5-9B,T_prompt_primary,9,sensory,THINGS behavioral similarity,human_behavioral,0.46504622104716786,aggregate,0.4035489371972334,0.5263163048628682
Qwen/Qwen3.5-9B,T_prompt_primary,9,sensory,DINOv2,pure_vision,0.37199426837584737,aggregate,0.3061574926358356,0.4397090358458763
Qwen/Qwen3.5-9B,T_prompt_primary,9,sensory,CLIP ViT-L/14,vision_language,0.16162610899453006,aggregate,0.0788202569863531,0.2372244122757915
Qwen/Qwen3.5-9B,T_prompt_primary,9,sensory,SigLIP2,vision_language,0.3824906522274944,aggregate,0.31855456748212513,0.4407768397216357
Qwen/Qwen3.5-9B,T_prompt_primary,10,sensory,THINGS behavioral similarity,human_behavioral,0.47543200559850124,aggregate,0.41244490017023766,0.5306857440047771
Qwen/Qwen3.5-9B,T_prompt_primary,10,sensory,DINOv2,pure_vision,0.3915055329529014,aggregate,0.3224166701600593,0.4578628284967189
Qwen/Qwen3.5-9B,T_prompt_primary,10,sensory,CLIP ViT-L/14,vision_language,0.1831060219218114,aggregate,0.10666864470688622,0.26024040068248006
Qwen/Qwen3.5-9B,T_prompt_primary,10,sensory,SigLIP2,vision_language,0.3796188993557415,aggregate,0.3106186534682662,0.4426993096691056
