condition,layer,level,rsa_score,num_concepts
M_prompt_plus_matched_image,27,subtype,0.06093715348521114,1854
M_prompt_plus_matched_image,28,coarse_category,0.08766921791471205,1854
M_prompt_plus_matched_image,28,subtype,0.05861262523135981,1854
M_prompt_plus_matched_image,29,coarse_category,0.07676660308082392,1854
M_prompt_plus_matched_image,29,subtype,0.049753523845780745,1854
M_prompt_plus_matched_image,30,coarse_category,0.07771510891524996,1854
M_prompt_plus_matched_image,30,subtype,0.056810913341402945,1854
M_prompt_plus_matched_image,31,coarse_category,0.0805957226590258,1854
M_prompt_plus_matched_image,31,subtype,0.06351283955215668,1854
M_prompt_plus_matched_image,32,coarse_category,0.07643380278048688,1854
M_prompt_plus_matched_image,32,subtype,0.06303617127591099,1854
M_prompt_plus_matched_image,33,coarse_category,0.07195638306806296,1854
M_prompt_plus_matched_image,33,subtype,0.060642828876947795,1854
M_prompt_plus_matched_image,34,coarse_category,0.06661355259198105,1854
M_prompt_plus_matched_image,34,subtype,0.05940957082731825,1854
M_prompt_plus_matched_image,35,coarse_category,0.0689494694119547,1854
M_prompt_plus_matched_image,35,subtype,0.06042414061227952,1854
M_prompt_plus_matched_image,36,coarse_category,0.06496680808386503,1854
M_prompt_plus_matched_image,36,subtype,0.08087667649743928,1854
M_degraded_image,18,coarse_category,0.09555427747622613,1854
M_degraded_image,18,subtype,0.0582220363376662,1854
M_degraded_image,19,coarse_category,0.09086560115239337,1854
M_degraded_image,19,subtype,0.055888672718896366,1854
M_degraded_image,20,coarse_category,0.08788151046472867,1854
M_degraded_image,20,subtype,0.05346849044440699,1854
M_degraded_image,21,coarse_category,0.08181334352005452,1854
M_degraded_image,21,subtype,0.04708476551992952,1854
M_degraded_image,22,coarse_category,0.08091345614253272,1854
M_degraded_image,22,subtype,0.047753224888568147,1854
M_degraded_image,23,coarse_category,0.07525999559636573,1854
M_degraded_image,23,subtype,0.04264644131015776,1854
M_degraded_image,24,coarse_category,0.0844846582515555,1854
M_degraded_image,24,subtype,0.054460059699029534,1854
M_degraded_image,25,coarse_category,0.07753885477392473,1854
M_degraded_image,25,subtype,0.05116445228416394,1854
M_degraded_image,26,coarse_category,0.07630687884069742,1854
M_degraded_image,26,subtype,0.05521374823977829,1854
M_degraded_image,27,coarse_category,0.06918970686897223,1854
M_degraded_image,27,subtype,0.04457374273882671,1854
M_degraded_image,28,coarse_category,0.07032499699454477,1854
M_degraded_image,28,subtype,0.043544040736356884,1854
M_degraded_image,29,coarse_category,0.06345805221362688,1854
M_degraded_image,29,subtype,0.03714356773440057,1854
M_degraded_image,30,coarse_category,0.06926420973710114,1854
M_degraded_image,30,subtype,0.04655800933151849,1854
M_degraded_image,31,coarse_category,0.07682087275958317,1854
M_degraded_image,31,subtype,0.05646071877518858,1854
M_degraded_image,32,coarse_category,0.07682674312472944,1854
M_degraded_image,32,subtype,0.05951196480049774,1854
M_degraded_image,33,coarse_category,0.07560281842589921,1854
M_degraded_image,33,subtype,0.05878336679927247,1854
M_degraded_image,34,coarse_category,0.07138883852024737,1854
M_degraded_image,34,subtype,0.06007667707814368,1854
M_degraded_image,35,coarse_category,0.07424400621947268,1854
M_degraded_image,35,subtype,0.06299261886369191,1854
M_degraded_image,36,coarse_category,0.08694231935621785,1854
M_degraded_image,36,subtype,0.08843312196213227,1854
M_mismatched_image,18,coarse_category,0.09500338085479235,1854
M_mismatched_image,18,subtype,0.07289350651512369,1854
M_mismatched_image,19,coarse_category,0.09132295463449215,1854
M_mismatched_image,19,subtype,0.06963601053127084,1854
M_mismatched_image,20,coarse_category,0.07725722881816874,1854
M_mismatched_image,20,subtype,0.056558854846705045,1854
M_mismatched_image,21,coarse_category,0.06859907190996557,1854
M_mismatched_image,21,subtype,0.049421990554877136,1854
M_mismatched_image,22,coarse_category,0.06238506975658763,1854
M_mismatched_image,22,subtype,0.04507735913105011,1854
M_mismatched_image,23,coarse_category,0.04922969328857032,1854
M_mismatched_image,23,subtype,0.032740260425234834,1854
M_mismatched_image,24,coarse_category,0.04777283465292458,1854
M_mismatched_image,24,subtype,0.03238907871202096,1854
M_mismatched_image,25,coarse_category,0.03203709270791855,1854
M_mismatched_image,25,subtype,0.018010416635725057,1854
M_mismatched_image,26,coarse_category,0.027551466332789744,1854
M_mismatched_image,26,subtype,0.017200060760448374,1854
M_mismatched_image,27,coarse_category,0.022997344816004937,1854
M_mismatched_image,27,subtype,0.010998388905762466,1854
M_mismatched_image,28,coarse_category,0.02432406952865081,1854
M_mismatched_image,28,subtype,0.011721458987844968,1854
M_mismatched_image,29,coarse_category,0.02050437951087164,1854
M_mismatched_image,29,subtype,0.010294347138987364,1854
M_mismatched_image,30,coarse_category,0.02931429828889606,1854
M_mismatched_image,30,subtype,0.023442346549922027,1854
M_mismatched_image,31,coarse_category,0.041531871020564735,1854
M_mismatched_image,31,subtype,0.03918611148357094,1854
M_mismatched_image,32,coarse_category,0.04774205969623485,1854
M_mismatched_image,32,subtype,0.04867460773520894,1854
M_mismatched_image,33,coarse_category,0.049551122451888,1854
M_mismatched_image,33,subtype,0.05170788954951498,1854
M_mismatched_image,34,coarse_category,0.050434221093546755,1854
M_mismatched_image,34,subtype,0.05537499298607466,1854
M_mismatched_image,35,coarse_category,0.048938400962577275,1854
M_mismatched_image,35,subtype,0.05234231221008497,1854
M_mismatched_image,36,coarse_category,0.07260805404738659,1854
M_mismatched_image,36,subtype,0.08507534816630802,1854
M_blank_image,18,coarse_category,0.08911449843132584,1854
M_blank_image,18,subtype,0.05668514169792797,1854
M_blank_image,19,coarse_category,0.08459479574441585,1854
M_blank_image,19,subtype,0.054431461681060944,1854
M_blank_image,20,coarse_category,0.07117359611613923,1854
M_blank_image,20,subtype,0.04318721500696345,1854
M_blank_image,21,coarse_category,0.06284059932509574,1854
M_blank_image,21,subtype,0.03581651384200265,1854
M_blank_image,22,coarse_category,0.05780895197274334,1854
M_blank_image,22,subtype,0.03418390004261144,1854
M_blank_image,23,coarse_category,0.044773023638829484,1854
M_blank_image,23,subtype,0.02231194510033118,1854
M_blank_image,24,coarse_category,0.04808704367562173,1854
M_blank_image,24,subtype,0.0285377569193248,1854
M_blank_image,25,coarse_category,0.03374872327377171,1854
M_blank_image,25,subtype,0.016019967230257517,1854
M_blank_image,26,coarse_category,0.030797302198355893,1854
M_blank_image,26,subtype,0.01762247824649798,1854
M_blank_image,27,coarse_category,0.02553912630315108,1854
M_blank_image,27,subtype,0.009892457731178653,1854
M_blank_image,28,coarse_category,0.026786921438009134,1854
M_blank_image,28,subtype,0.010236025907352024,1854
M_blank_image,29,coarse_category,0.021045024144861417,1854
M_blank_image,29,subtype,0.006271948895012949,1854
M_blank_image,30,coarse_category,0.025226475028547548,1854
M_blank_image,30,subtype,0.012400800910765394,1854
M_blank_image,31,coarse_category,0.034952523627730374,1854
M_blank_image,31,subtype,0.023671882935454202,1854
M_blank_image,32,coarse_category,0.037677803053354705,1854
M_blank_image,32,subtype,0.028440467454531073,1854
M_blank_image,33,coarse_category,0.03900042275904735,1854
M_blank_image,33,subtype,0.02991761556065405,1854
M_blank_image,34,coarse_category,0.04121268211231914,1854
M_blank_image,34,subtype,0.03446357175188921,1854
M_blank_image,35,coarse_category,0.04033932997466099,1854
M_blank_image,35,subtype,0.03314046789375011,1854
M_blank_image,36,coarse_category,0.07503509147997998,1854
M_blank_image,36,subtype,0.07955177904198832,1854
