model,layer,domain,condition,participation_ratio,num_concepts,feature_dim,concept_subset
Qwen/Qwen3.5-9B,0,sensory,T_prompt_para_1,727.9799753530986,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,1,sensory,T_prompt_para_1,102.84966110546354,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,2,sensory,T_prompt_para_1,136.6893924358787,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,3,sensory,T_prompt_para_1,195.8792824714122,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,4,sensory,T_prompt_para_1,269.5443710885008,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,5,sensory,T_prompt_para_1,232.99224114349514,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,6,sensory,T_prompt_para_1,221.03420094776627,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,7,sensory,T_prompt_para_1,170.87283416802944,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,8,sensory,T_prompt_para_1,172.36774365217727,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,9,sensory,T_prompt_para_1,155.0802448151403,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,10,sensory,T_prompt_para_1,141.18360171694766,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,11,sensory,T_prompt_para_1,106.77929414774576,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,12,sensory,T_prompt_para_1,105.8762281330895,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,13,sensory,T_prompt_para_1,91.72031060285804,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,14,sensory,T_prompt_para_1,81.89634014825396,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,15,sensory,T_prompt_para_1,70.34986241697598,1854,4096,data/concepts/things_max_1854_concepts.csv
Qwen/Qwen3.5-9B,16,sensory,T_prompt_para_1,71.65044579011428,1854,4096,data/concepts/things_max_1854_concepts.csv
