anchor_name,condition,layer,summary_type,rsa_score,value
THINGS behavioral similarity,T_prompt_primary,1,trajectory,0.05508819918626927,
controlled_THINGS,T_prompt_primary,1,trajectory,0.058225313337435115,
SigLIP2,T_prompt_primary,1,trajectory,0.06231788933033233,
lancaster_perceptual,T_prompt_primary,1,trajectory,0.03819557075950214,
THINGS behavioral similarity,T_prompt_primary,2,trajectory,0.05689605427868722,
controlled_THINGS,T_prompt_primary,2,trajectory,0.05822140134940679,
SigLIP2,T_prompt_primary,2,trajectory,0.04858977099218421,
lancaster_perceptual,T_prompt_primary,2,trajectory,0.01434966039190629,
THINGS behavioral similarity,T_prompt_primary,3,trajectory,0.050271736253409235,
controlled_THINGS,T_prompt_primary,3,trajectory,0.051502231135301425,
SigLIP2,T_prompt_primary,3,trajectory,0.02779751342190732,
lancaster_perceptual,T_prompt_primary,3,trajectory,0.010296899679881146,
THINGS behavioral similarity,T_prompt_primary,4,trajectory,0.10227484265609994,
controlled_THINGS,T_prompt_primary,4,trajectory,0.10194068970975896,
SigLIP2,T_prompt_primary,4,trajectory,0.053198784940510224,
lancaster_perceptual,T_prompt_primary,4,trajectory,0.060509985250737724,
THINGS behavioral similarity,T_prompt_primary,5,trajectory,0.12385281028959153,
controlled_THINGS,T_prompt_primary,5,trajectory,0.1189744765546232,
SigLIP2,T_prompt_primary,5,trajectory,0.06255800320495689,
lancaster_perceptual,T_prompt_primary,5,trajectory,0.060602931319230745,
THINGS behavioral similarity,T_prompt_primary,6,trajectory,0.15239758534636308,
controlled_THINGS,T_prompt_primary,6,trajectory,0.1487520856009887,
SigLIP2,T_prompt_primary,6,trajectory,0.09182446077020416,
lancaster_perceptual,T_prompt_primary,6,trajectory,0.10652303236418979,
THINGS behavioral similarity,T_prompt_primary,7,trajectory,0.14035565902997166,
controlled_THINGS,T_prompt_primary,7,trajectory,0.13559163963799267,
SigLIP2,T_prompt_primary,7,trajectory,0.08342981051859298,
lancaster_perceptual,T_prompt_primary,7,trajectory,0.06733926649355557,
THINGS behavioral similarity,T_prompt_primary,8,trajectory,0.1554045013731684,
controlled_THINGS,T_prompt_primary,8,trajectory,0.1479491817917281,
SigLIP2,T_prompt_primary,8,trajectory,0.09538372648968425,
lancaster_perceptual,T_prompt_primary,8,trajectory,0.10963044272080563,
THINGS behavioral similarity,T_prompt_primary,9,trajectory,0.166632987205084,
controlled_THINGS,T_prompt_primary,9,trajectory,0.15901330716681503,
SigLIP2,T_prompt_primary,9,trajectory,0.1098602203266991,
lancaster_perceptual,T_prompt_primary,9,trajectory,0.1373861004802451,
THINGS behavioral similarity,T_prompt_primary,10,trajectory,0.17989102988621095,
controlled_THINGS,T_prompt_primary,10,trajectory,0.17267728207447422,
SigLIP2,T_prompt_primary,10,trajectory,0.1256386423332969,
lancaster_perceptual,T_prompt_primary,10,trajectory,0.1403829931923549,
THINGS behavioral similarity,T_prompt_primary,11,trajectory,0.18224318415504315,
controlled_THINGS,T_prompt_primary,11,trajectory,0.17543873649638445,
SigLIP2,T_prompt_primary,11,trajectory,0.13535224554710984,
lancaster_perceptual,T_prompt_primary,11,trajectory,0.11724555134690569,
THINGS behavioral similarity,T_prompt_primary,12,trajectory,0.185193944097799,
controlled_THINGS,T_prompt_primary,12,trajectory,0.17710860793936553,
SigLIP2,T_prompt_primary,12,trajectory,0.13705261823970497,
lancaster_perceptual,T_prompt_primary,12,trajectory,0.14316359648075797,
THINGS behavioral similarity,T_prompt_primary,13,trajectory,0.1834671740291079,
controlled_THINGS,T_prompt_primary,13,trajectory,0.17504226034787804,
SigLIP2,T_prompt_primary,13,trajectory,0.14000780871955296,
lancaster_perceptual,T_prompt_primary,13,trajectory,0.13885929728305624,
THINGS behavioral similarity,T_prompt_primary,14,trajectory,0.18166279372007965,
controlled_THINGS,T_prompt_primary,14,trajectory,0.17276513621939302,
SigLIP2,T_prompt_primary,14,trajectory,0.13960426164397008,
lancaster_perceptual,T_prompt_primary,14,trajectory,0.14341714410970433,
THINGS behavioral similarity,T_prompt_primary,15,trajectory,0.17598695326491356,
controlled_THINGS,T_prompt_primary,15,trajectory,0.16627058591963312,
SigLIP2,T_prompt_primary,15,trajectory,0.1355955410603897,
lancaster_perceptual,T_prompt_primary,15,trajectory,0.1321382753243804,
THINGS behavioral similarity,T_prompt_primary,16,trajectory,0.1741671391495699,
controlled_THINGS,T_prompt_primary,16,trajectory,0.16431066117185725,
SigLIP2,T_prompt_primary,16,trajectory,0.13525338834792144,
lancaster_perceptual,T_prompt_primary,16,trajectory,0.1379256040874815,
THINGS behavioral similarity,T_prompt_primary,17,trajectory,0.17566015439470142,
controlled_THINGS,T_prompt_primary,17,trajectory,0.16521547891183888,
SigLIP2,T_prompt_primary,17,trajectory,0.13209392194874997,
lancaster_perceptual,T_prompt_primary,17,trajectory,0.13623769510682923,
THINGS behavioral similarity,T_prompt_primary,18,trajectory,0.16610870016409843,
controlled_THINGS,T_prompt_primary,18,trajectory,0.15572062307100223,
SigLIP2,T_prompt_primary,18,trajectory,0.12711792432992364,
lancaster_perceptual,T_prompt_primary,18,trajectory,0.1265105569750583,
THINGS behavioral similarity,T_prompt_primary,19,trajectory,0.156496838991066,
controlled_THINGS,T_prompt_primary,19,trajectory,0.14653817810510783,
SigLIP2,T_prompt_primary,19,trajectory,0.10809441170735297,
lancaster_perceptual,T_prompt_primary,19,trajectory,0.07422419224459752,
THINGS behavioral similarity,T_prompt_primary,20,trajectory,0.1861832301806512,
controlled_THINGS,T_prompt_primary,20,trajectory,0.17546687918452022,
SigLIP2,T_prompt_primary,20,trajectory,0.1248188887277771,
lancaster_perceptual,T_prompt_primary,20,trajectory,0.12327480803731691,
THINGS behavioral similarity,T_prompt_primary,21,trajectory,0.17417801569236982,
