family_name,family_role,text_model,multimodal_model,condition,anchor_name,rsa_score,num_concepts,num_pairs,row_type,contrast_name,contrast_delta
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,CLIP_ViT_L_14,,,,contrast,matched_minus_mismatched,0.03240068138187027
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,DINOv2,,,,contrast,matched_minus_prompt,0.04025072903044504
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,DINOv2,,,,contrast,prompt_image_minus_matched,0.003091444384140052
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,DINOv2,,,,contrast,matched_minus_blank,0.048512307193004235
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,DINOv2,,,,contrast,matched_minus_mismatched,0.0415518378564244
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,lancaster_perceptual,,,,contrast,matched_minus_prompt,0.11004450993607087
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,lancaster_perceptual,,,,contrast,prompt_image_minus_matched,0.024678775684067705
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,lancaster_perceptual,,,,contrast,matched_minus_blank,0.09684857455129797
qwen,baseline,Qwen/Qwen3.5-9B,Qwen/Qwen3-VL-8B-Instruct,,lancaster_perceptual,,,,contrast,matched_minus_mismatched,0.06280954830587951
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,T_neutral,THINGS,0.17999568053697498,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,T_neutral,controlled_THINGS,0.1764902677017856,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,T_neutral,SigLIP2,0.14771240417775658,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,T_neutral,CLIP_ViT_L_14,0.13823235453202407,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,T_neutral,DINOv2,0.05305511348021487,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,T_neutral,lancaster_perceptual,0.13291719784033443,1519,1152921,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,T_prompt_primary,THINGS,0.22506953690631323,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,T_prompt_primary,controlled_THINGS,0.21543040583541845,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,T_prompt_primary,SigLIP2,0.1731907756400815,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,T_prompt_primary,CLIP_ViT_L_14,0.14628385674891115,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,T_prompt_primary,DINOv2,0.07282386147445069,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,T_prompt_primary,lancaster_perceptual,0.17167492554048464,1519,1152921,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,M_text_only,THINGS,0.17287664548886583,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,M_text_only,controlled_THINGS,0.1693561258037496,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,M_text_only,SigLIP2,0.13558004931055886,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,M_text_only,CLIP_ViT_L_14,0.12267079281117993,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,M_text_only,DINOv2,0.05313878761639248,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,M_text_only,lancaster_perceptual,0.12285027499353018,1519,1152921,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,M_matched_image,THINGS,0.33889232347083165,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,M_matched_image,controlled_THINGS,0.32382049005391345,1854,1717731,condition_score,,
mistral,replication,mistralai/Mistral-Small-24B-Instruct-2501,mistralai/Mistral-Small-3.1-24B-Instruct-2503,M_matched_image,SigLIP2,0.2553049682251975,1854,1717731,condition_score,,
